Idalumno,CodAsig,Asignatura,Carrera,Semestre,Convocatoria,Anho,Ciclo,Aprobado,AnhoFirma,1P,2P,Taller,Asistencia,Requisito,1R,2R,NF,1F,2F,3F,Materias cursadas
1759,13015,ESTATICA,IND-PLS13 ,3,1,2017,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1760,13015,ESTATICA,CIV-PLS13 ,3,2,2019,2,0,0,13,10,5,1,1,20,0,0,0,0,0,6
1762,13015,ESTATICA,CIV-PLS13 ,3,2,2019,2,1,2019,15,18,6,1,1,0,0,3,1,3,0,7
1764,13015,ESTATICA,MCT-PLS13 ,3,2,2021,2,0,0,0,0,0,1,0,0,0,0,0,0,0,6
1764,13015,ESTATICA,MCT-PLS13 ,3,2,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1765,13015,ESTATICA,ELE-PLS13 ,3,1,2016,2,1,2016,13,18,6,1,1,0,0,2,0,2,0,5
1766,13015,ESTATICA,ELE-PLS13 ,3,2,2021,2,0,0,0,0,0,1,0,0,0,0,0,0,0,5
1766,13015,ESTATICA,ELE-PLS13 ,3,1,2022,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4
1766,13015,ESTATICA,ELE-PLS13 ,3,2,2022,2,0,0,10,0,2,1,0,0,0,0,0,0,0,3
1770,13015,ESTATICA,CIV-PLS13 ,3,2,2021,2,0,0,0,0,1,1,0,0,0,0,0,0,0,6
1770,13015,ESTATICA,CIV-PLS13 ,3,1,2022,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8
1770,13015,ESTATICA,CIV-PLS13 ,3,2,2022,2,0,0,9,4,3,1,0,0,0,0,0,0,0,7
1771,13015,ESTATICA,CIV-PLS13 ,3,1,2016,2,0,0,11,16,4,1,1,0,0,0,0,0,0,3
1771,13015,ESTATICA,IND-PLS13 ,3,1,2017,2,1,2017,16,21,2,1,1,0,0,2,2,0,0,4
1773,13015,ESTATICA,MEC-PLS13 ,3,1,2019,1,0,0,13,17,2,1,1,22,0,0,0,0,0,4
1773,13015,ESTATICA,MEC-PLS13 ,3,2,2019,2,0,0,11,20,3,1,1,22,0,0,0,0,0,4
1774,13015,ESTATICA,MCT-PLS13 ,3,2,2019,2,0,0,12,11,4,1,1,10,0,0,0,0,0,5
